epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6502,1.43529,4.16914,1.45642,0.05019,0.73125,0.10643,0.06492,0.97249,4.40584,1.18018,0.000163889,0.000163889,0.000163889
2,119.988,1.30109,3.61722,1.36875,0.33554,0.28757,0.28415,0.16155,1.17352,3.61344,1.39257,0.000327283,0.000327283,0.000327283
3,2009.93,1.36738,3.16129,1.37551,0.28948,0.70532,0.49554,0.30098,1.24135,3.08649,1.43931,0.000487377,0.000487377,0.000487377
4,2085.43,1.38397,2.75021,1.39452,0.44357,0.77044,0.67793,0.42403,1.21585,3.03911,1.41625,0.00048515,0.00048515,0.00048515
5,2146.86,1.32987,2.45453,1.35394,0.62407,0.88199,0.89764,0.59185,1.12621,2.99019,1.30817,0.0004802,0.0004802,0.0004802
6,2235.59,1.29094,2.22943,1.32374,0.80075,0.86828,0.94397,0.60357,1.20369,2.38426,1.42543,0.00047525,0.00047525,0.00047525
7,3248.59,1.30074,2.10796,1.33416,0.85852,0.96889,0.97032,0.64539,1.09727,1.95108,1.29178,0.0004703,0.0004703,0.0004703
8,3321.6,1.29431,1.91393,1.32751,0.92463,0.97017,0.98321,0.64359,1.13821,1.74472,1.31977,0.00046535,0.00046535,0.00046535
9,3366.31,1.29938,1.80654,1.34258,0.93048,0.98376,0.98761,0.65831,1.05797,1.85814,1.26663,0.0004604,0.0004604,0.0004604
10,3513.72,1.27562,1.79987,1.30761,0.95274,0.94535,0.98913,0.69176,1.00183,1.75504,1.20462,0.00045545,0.00045545,0.00045545
11,4519.78,1.24571,1.72192,1.27121,0.88752,0.95372,0.97768,0.67489,1.06605,1.72985,1.24139,0.0004505,0.0004505,0.0004505
12,4567.8,1.16257,1.60313,1.25294,0.88914,0.95794,0.99462,0.67468,1.03136,1.79886,1.21403,0.00044555,0.00044555,0.00044555
13,5531.7,1.21231,1.59625,1.27145,0.9513,0.97859,0.995,0.68369,1.03167,1.61046,1.21635,0.0004406,0.0004406,0.0004406
14,6495.2,1.20558,1.50978,1.25848,0.9016,0.98593,0.9903,0.68316,1.04383,1.52954,1.22021,0.00043565,0.00043565,0.00043565
15,7317.67,1.16474,1.49321,1.26229,0.97463,0.99639,0.995,0.69629,1.02404,1.46752,1.22408,0.0004307,0.0004307,0.0004307
16,7372.85,1.16103,1.48332,1.25479,0.97971,0.99129,0.995,0.69543,0.99038,1.36402,1.21383,0.00042575,0.00042575,0.00042575
17,8353.5,1.18659,1.41621,1.25216,0.97304,0.99823,0.995,0.70562,0.98026,1.38857,1.17789,0.0004208,0.0004208,0.0004208
18,8416.7,1.18487,1.40326,1.22804,0.98387,0.99753,0.99494,0.67802,1.09199,1.28289,1.21833,0.00041585,0.00041585,0.00041585
19,9387.06,1.15447,1.36032,1.24578,0.97005,0.99793,0.99494,0.69687,1.02103,1.25126,1.18974,0.0004109,0.0004109,0.0004109
20,9445.91,1.10946,1.28079,1.21241,0.98911,0.99488,0.995,0.71521,0.93793,1.2634,1.16636,0.00040595,0.00040595,0.00040595
21,9516.42,1.14523,1.35315,1.24124,0.9907,1,0.995,0.70217,0.99366,1.2132,1.18395,0.000401,0.000401,0.000401
22,9677.12,1.13897,1.29282,1.23047,0.93786,0.97671,0.97611,0.69989,0.95696,1.27329,1.17821,0.00039605,0.00039605,0.00039605
23,10701.4,1.13497,1.33848,1.24028,0.93952,0.98895,0.99467,0.71059,0.98998,1.22134,1.19243,0.0003911,0.0003911,0.0003911
24,12027.9,1.15053,1.2169,1.21302,0.97448,0.98125,0.97692,0.70517,0.96338,1.21385,1.17027,0.00038615,0.00038615,0.00038615
25,13045.5,1.07899,1.22587,1.22321,0.97927,0.99888,0.995,0.71471,0.98745,1.16349,1.17368,0.0003812,0.0003812,0.0003812
26,13121.9,1.04758,1.15163,1.18803,0.97782,0.99858,0.995,0.71513,0.9454,1.14753,1.15854,0.00037625,0.00037625,0.00037625
27,13202,1.09653,1.2071,1.21151,0.94364,0.99703,0.98935,0.7186,0.92289,1.15217,1.15049,0.0003713,0.0003713,0.0003713
28,13318.2,1.06294,1.17078,1.19771,0.98358,0.99982,0.995,0.72799,0.93812,1.08185,1.14811,0.00036635,0.00036635,0.00036635
29,13536.2,1.11105,1.17063,1.21366,0.97696,1,0.995,0.72365,0.91714,1.17399,1.15287,0.0003614,0.0003614,0.0003614
30,13773.7,1.04977,1.09505,1.18476,0.99082,0.99931,0.995,0.72342,0.92449,1.13263,1.15078,0.00035645,0.00035645,0.00035645
31,14186.4,1.05679,1.09128,1.18948,0.99309,1,0.995,0.73134,0.9152,1.02523,1.14207,0.0003515,0.0003515,0.0003515
32,14651.6,1.06156,1.05452,1.1823,0.9821,0.8374,0.83838,0.61152,0.90252,1.00861,1.14852,0.00034655,0.00034655,0.00034655
33,15075.9,1.02173,1.04646,1.17988,0.98671,1,0.995,0.73134,0.89299,1.01303,1.13172,0.0003416,0.0003416,0.0003416
34,16329,1.057,1.04924,1.17573,0.98761,1,0.995,0.72544,0.93481,0.95697,1.1576,0.00033665,0.00033665,0.00033665
35,16553.9,1.04848,1.02091,1.16462,0.98932,1,0.995,0.7231,0.95028,0.95261,1.14863,0.0003317,0.0003317,0.0003317
36,16967.5,1.0598,1.02367,1.18284,0.99149,0.99983,0.995,0.72989,0.88943,0.97429,1.13546,0.00032675,0.00032675,0.00032675
37,17371.5,1.01302,1.02939,1.17819,0.98663,0.99583,0.99136,0.71652,0.94304,0.95777,1.15815,0.0003218,0.0003218,0.0003218
38,17760.8,1.00603,1.01774,1.16583,0.98596,0.96875,0.96458,0.71704,0.87846,0.95597,1.11116,0.00031685,0.00031685,0.00031685
39,19223,1.02908,1.02395,1.15905,0.98927,1,0.995,0.74522,0.83569,0.93006,1.10646,0.0003119,0.0003119,0.0003119
40,20299,1.03362,1.01922,1.16527,0.98831,1,0.995,0.74065,0.85594,0.91568,1.1067,0.00030695,0.00030695,0.00030695
41,22919.7,1.01596,1.0043,1.16958,0.99138,0.99987,0.995,0.74235,0.84919,0.9136,1.09728,0.000302,0.000302,0.000302
42,24008.6,0.97603,0.95948,1.1421,0.98824,1,0.995,0.73847,0.87268,0.87863,1.10644,0.00029705,0.00029705,0.00029705
43,24078.3,1.00301,0.98236,1.18225,0.98409,1,0.99488,0.72969,0.89434,0.89946,1.11214,0.0002921,0.0002921,0.0002921
44,25076.6,1.00017,0.98907,1.14978,0.98732,0.96137,0.97143,0.72602,0.846,0.91913,1.08663,0.00028715,0.00028715,0.00028715
45,26539.6,0.96847,0.95402,1.15067,0.98707,1,0.995,0.73657,0.89568,0.86969,1.10193,0.0002822,0.0002822,0.0002822
46,26658.1,0.99832,0.93832,1.15036,0.99047,0.99703,0.995,0.74319,0.85254,0.85166,1.09749,0.00027725,0.00027725,0.00027725
47,26771.3,0.9767,0.91192,1.14777,0.98989,1,0.995,0.72992,0.91875,0.84761,1.1014,0.0002723,0.0002723,0.0002723
48,26971.9,0.9779,0.95466,1.14544,0.97956,0.99368,0.995,0.74483,0.84608,0.89364,1.09353,0.00026735,0.00026735,0.00026735
49,27224.3,0.98028,0.92382,1.14122,0.98954,0.99989,0.995,0.75214,0.81413,0.84624,1.07913,0.0002624,0.0002624,0.0002624
50,27534.4,0.99822,0.93971,1.16917,0.99003,1,0.995,0.75397,0.84289,0.8247,1.09293,0.00025745,0.00025745,0.00025745
51,27945.4,0.98199,0.9273,1.16078,0.98875,1,0.995,0.74916,0.82624,0.84666,1.08563,0.0002525,0.0002525,0.0002525
52,28317.2,0.9737,0.93499,1.13915,0.98997,1,0.995,0.73769,0.8595,0.83571,1.08293,0.00024755,0.00024755,0.00024755
53,28744.8,0.95826,0.88838,1.13073,0.98687,0.975,0.97171,0.7459,0.81419,0.83027,1.07103,0.0002426,0.0002426,0.0002426
54,29098.8,0.95102,0.87531,1.15408,0.98991,1,0.995,0.76714,0.84438,0.77704,1.07738,0.00023765,0.00023765,0.00023765
55,29444.4,0.98121,0.89833,1.14001,0.99057,1,0.995,0.76364,0.82193,0.79969,1.07273,0.0002327,0.0002327,0.0002327
56,29716.2,0.94591,0.88887,1.12604,0.99279,1,0.995,0.75309,0.8618,0.77762,1.08108,0.00022775,0.00022775,0.00022775
57,30030.2,0.99749,0.95767,1.16177,0.98914,1,0.995,0.75736,0.84032,0.78734,1.06698,0.0002228,0.0002228,0.0002228
58,32104.5,0.92443,0.88071,1.10948,0.98985,0.99924,0.995,0.76726,0.7999,0.77736,1.07105,0.00021785,0.00021785,0.00021785
59,33897.4,0.99052,0.91834,1.13475,0.99177,1,0.995,0.76206,0.80498,0.76905,1.05711,0.0002129,0.0002129,0.0002129
60,34210.6,0.91418,0.85505,1.09245,0.99395,1,0.995,0.76011,0.81932,0.78431,1.0692,0.00020795,0.00020795,0.00020795
61,34375.8,0.9497,0.88749,1.13984,0.98973,1,0.995,0.76628,0.83653,0.75368,1.07966,0.000203,0.000203,0.000203
62,34558,0.93139,0.88551,1.14525,0.99196,1,0.995,0.76841,0.80731,0.73853,1.07337,0.00019805,0.00019805,0.00019805
63,34737.8,0.94876,0.871,1.13501,0.99074,1,0.995,0.77005,0.81722,0.73691,1.05997,0.0001931,0.0001931,0.0001931
64,34875.9,0.92973,0.82083,1.09784,0.99174,0.99983,0.995,0.77565,0.80187,0.73327,1.07173,0.00018815,0.00018815,0.00018815
65,35127.3,0.93791,0.8538,1.1284,0.98838,1,0.995,0.77916,0.78116,0.74543,1.05142,0.0001832,0.0001832,0.0001832
66,35283.9,0.90477,0.83801,1.10498,0.99253,0.99953,0.995,0.77798,0.76704,0.74293,1.04119,0.00017825,0.00017825,0.00017825
67,35467.2,0.91022,0.84014,1.09431,0.98954,1,0.995,0.76001,0.82756,0.73451,1.06769,0.0001733,0.0001733,0.0001733
68,35658.5,0.90124,0.83955,1.10585,0.9946,1,0.995,0.76579,0.78602,0.7164,1.05605,0.00016835,0.00016835,0.00016835
69,35841.3,0.87527,0.79253,1.09506,0.99236,0.99754,0.995,0.77082,0.79977,0.7119,1.07243,0.0001634,0.0001634,0.0001634
70,36046.1,0.92896,0.86177,1.12467,0.99291,1,0.995,0.78112,0.75932,0.71473,1.04219,0.00015845,0.00015845,0.00015845
71,36228,0.90405,0.78869,1.09072,0.99082,1,0.995,0.76754,0.80482,0.70211,1.05339,0.0001535,0.0001535,0.0001535
72,36398.9,0.8811,0.80925,1.09286,0.99138,1,0.995,0.76836,0.75939,0.73124,1.04874,0.00014855,0.00014855,0.00014855
73,36570.9,0.8786,0.8232,1.10265,0.99061,1,0.995,0.76429,0.78729,0.72923,1.05201,0.0001436,0.0001436,0.0001436
74,36741.1,0.92458,0.81281,1.10626,0.99063,1,0.995,0.77981,0.74852,0.72695,1.0405,0.00013865,0.00013865,0.00013865
75,36936.8,0.86489,0.82633,1.10974,0.99195,1,0.995,0.77876,0.75011,0.70946,1.03477,0.0001337,0.0001337,0.0001337
76,37102.6,0.86209,0.77325,1.073,0.9905,1,0.995,0.78885,0.73649,0.68295,1.02832,0.00012875,0.00012875,0.00012875
77,37292.6,0.88593,0.8037,1.0915,0.99104,1,0.995,0.78782,0.72588,0.67888,1.03176,0.0001238,0.0001238,0.0001238
78,37447.2,0.84248,0.78219,1.09048,0.98792,1,0.995,0.79201,0.73428,0.67818,1.03444,0.00011885,0.00011885,0.00011885
79,37675.3,0.87351,0.80461,1.0957,0.98691,1,0.995,0.78794,0.75076,0.67967,1.03458,0.0001139,0.0001139,0.0001139
80,37847.2,0.85889,0.76337,1.08624,0.98996,1,0.995,0.7863,0.72833,0.68639,1.02004,0.00010895,0.00010895,0.00010895
81,38050.6,0.87991,0.79724,1.09778,0.98738,1,0.995,0.78806,0.72305,0.67602,1.02087,0.000104,0.000104,0.000104
82,38233.9,0.8748,0.78147,1.0771,0.98729,0.99638,0.995,0.78778,0.75302,0.66389,1.02793,9.905e-05,9.905e-05,9.905e-05
83,38449.4,0.84225,0.78593,1.08757,0.99168,0.99615,0.995,0.79093,0.71259,0.66703,1.02035,9.41e-05,9.41e-05,9.41e-05
84,38669.7,0.82298,0.76078,1.06447,0.9922,0.99758,0.995,0.79824,0.72725,0.65642,1.02036,8.915e-05,8.915e-05,8.915e-05
85,38857.7,0.85658,0.79152,1.0818,0.9913,1,0.995,0.79722,0.71556,0.663,1.01577,8.42e-05,8.42e-05,8.42e-05
86,39043,0.82412,0.75052,1.06181,0.99192,1,0.995,0.7977,0.70311,0.65905,1.01262,7.925e-05,7.925e-05,7.925e-05
87,39364.3,0.86216,0.75106,1.08555,0.99332,1,0.995,0.7995,0.71256,0.65345,1.01268,7.43e-05,7.43e-05,7.43e-05
88,39734.8,0.83192,0.74892,1.0741,0.9924,1,0.995,0.79906,0.69498,0.65063,1.01276,6.935e-05,6.935e-05,6.935e-05
89,40312.3,0.82012,0.74251,1.05573,0.99146,1,0.995,0.80306,0.68386,0.64011,1.00422,6.44e-05,6.44e-05,6.44e-05
